GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC44,HC01_EST_VC45,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree",Total; Estimate; Associate's degree,Total; Estimate; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree
0400000US01,01,Alabama,3108132,6.3,12.3,31.8,21.0,6.9,13.8,7.9,81.4,21.7,28.5,14.1,9.7,3.5,30895,17983,25316,30633,44842,54292
0400000US02,02,Alaska,429979,3.5,5.8,27.4,28.3,8.0,17.4,9.6,90.7,27.0,16.8,10.3,5.8,2.6,39694,20317,31391,39174,49219,64913
0400000US04,04,Arizona,4017638,6.6,8.4,25.1,25.5,8.0,16.7,9.6,85.0,26.3,26.7,13.3,8.8,4.2,34112,19968,27252,33970,47454,59528
0400000US05,05,Arkansas,1885607,6.9,11.2,35.3,21.6,5.8,12.8,6.4,81.9,19.1,27.3,14.2,10.9,3.6,28175,18826,23986,28277,41485,53206
0400000US06,06,California,23497945,10.4,8.9,21.5,21.5,7.7,19.2,10.8,80.7,30.1,22.2,12.5,8.2,4.3,37162,19219,29040,37453,54186,75544
0400000US08,08,Colorado,3201139,4.4,6.3,23.3,22.3,7.7,23.0,12.9,89.3,35.9,25.2,11.2,8.1,3.9,36696,20162,29256,34480,46891,60848
0400000US09,09,Connecticut,2398283,4.7,7.0,28.6,17.3,7.3,19.9,15.3,88.4,35.2,20.6,8.6,6.1,2.7,43324,22635,32961,40326,57222,73963
0400000US10,10,Delaware,587903,4.2,8.7,32.2,19.8,7.4,16.6,11.1,87.0,27.7,19.9,9.4,6.1,3.0,37648,21350,30610,36841,50002,65094
0400000US11,11,District of Columbia,399457,5.0,8.5,19.9,14.2,3.1,22.0,27.2,86.5,49.2,31.9,22.2,14.6,5.1,48881,20793,29884,37607,57386,80683
