State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,
Alabama,138.1,128.9,119,142.1,163,149.1,177.7,183.5,168.5,181.7,215.2,219.7,211.7,236.3,235.6,233.5,256,278.3,281.2,263.1,273.2,306.1,299.1,284.9,300.6,315.5,407.9,409.9,401.2,415.7,520.7,644.4,654.6,574.3,465.3,403.7,356,361.8,339.9,326.5,317.2,274.1,268,251.7,249.4,248.3,227.5,246.7,253,278.3,248,,,,
Alaska,45.1,51.7,54.5,66.1,96,85,82,98.2,90.6,113.8,167.8,231.3,252.6,263,301.8,353.4,357.1,284,282.1,296.3,288.5,384.5,386.1,401.5,409,401.9,401.1,307.2,386.5,369.3,367.4,401.6,445.3,545.6,544.9,526.3,537.7,519.7,492,447.6,405.1,423.1,404.4,429.9,473.9,465.4,516.7,490.3,489,463.2,473.2,,,,
Arizona,131.4,87.6,97.7,116.4,130.2,113.9,122.4,141,151.9,210.2,213.7,250.7,287.4,293.6,315.5,333.8,287.9,312.3,335.6,362.6,401.8,352,311.6,312.7,334.1,402.3,436.8,425.5,425.8,417.7,442.8,454.8,466.6,505.7,494.7,495.7,424,417.1,373.6,361.6,347.7,337.1,370.8,335.6,329.6,326.7,340.3,318.2,293.8,261.8,264.7,,,,
Arkansas,65.5,59.5,54.8,68.6,91.7,95.9,116.6,161.3,151.7,148.4,149.5,164.5,162.2,190,200.5,224.7,192.9,203.4,231.9,255.3,218.4,198.6,210.6,195.5,216.6,242,278.2,292.6,297.6,316.3,365.4,401.9,399,415.8,412.5,379.8,359.8,361.9,350.9,312.4,332.4,332.8,298.6,334.7,366.7,387.2,400.6,374.9,358.8,372.8,372.6,,,,
California,119.6,120,121.7,126.3,138.2,142.9,159.1,172.7,194.6,217,225.9,238.9,253.7,275.8,307.8,321,338.7,358,374.4,410.3,436.7,405.6,380.7,373.1,379.5,383.8,521.5,562.4,571.8,593.8,613.6,623.5,641.6,621.8,609.4,590.3,525.8,506.2,456.6,411.7,408.7,393.3,373.8,364.8,322,317.1,306.2,299.7,285.4,271,256.8,,,,
Colorado,42.4,40,51.8,42.6,70.1,78.6,93.8,98.9,135,154,185.4,193.8,217.3,204.4,221.6,240.1,236.7,292.9,281.9,306.1,309.2,318.5,303.1,301.7,299,300.1,329.4,302.1,329.5,340.8,385,398.9,404.9,399,354,298.7,255.4,232.8,244.4,219.2,219.1,222.3,223.5,218.2,244.2,264.9,265.9,234.7,238.1,223.4,214.3,,,,
Connecticut,21.6,21.1,21.8,25.9,41.9,43.5,45.8,55.7,73.7,79.1,87.4,95.5,107.9,110.1,121.4,120.6,132.8,131.8,138.8,192.6,168.1,174.6,163.9,150.3,175.4,184.1,205.1,211.1,236.2,263.6,286,280.5,252.5,228.7,236.5,214.4,214.6,211.6,206.2,198.9,189.4,191.1,171,172.7,144.9,136.9,148.7,155.4,168,165.5,162.3,,,,
Delaware,32.3,32.1,28.6,37,56,42.2,50.8,95.4,113.7,154.8,195.8,200.7,234.9,238,287.6,209.5,169.1,194.2,268.1,374.4,306.7,332.8,401.2,295.9,266.7,256.6,241.1,234.6,253.3,328.1,397.3,407.6,379.5,417.1,400.7,442.5,421.5,480.9,498.3,463,449.2,410.4,409.2,451.4,406.8,429.1,437.4,457.6,448.1,406.4,377,,,,
District of Columbia,388.2,386.8,383.3,357.3,322.4,328.1,393.2,388.5,383.6,452.3,540.5,536,521,481.4,388.8,392.7,378.8,375.9,377.7,451.8,509.4,539.6,577.7,585.2,657.6,712,667.9,817.4,917.7,956.1,1117,1121.4,1454.7,1557.6,1441.8,1304.7,1162.1,1075.2,943,889.2,801,871.9,871.8,824.4,715.9,682.2,789.1,626.7,626.4,565.3,559.1,,,,
Florida,123.7,129.4,115.3,128.7,184.1,188.6,213,233.6,263.3,267.5,277.2,319.7,326,335,351.8,399.6,415,449.1,502.5,520.6,556.6,545,532,503.7,529.6,564.5,605.3,606.3,653.3,644.6,764.4,723.4,777.2,785.7,757.4,715.1,702.2,688.7,639.9,590.5,563.2,551.7,530.1,500.6,495.8,497.2,485.6,473.2,452,410.6,369,,,,
