,x.state,x.rfbmi2,se,Year
1,1,0.616414456,0.010738973,2001
2,2,0.632780628,0.014358876,2001
3,4,0.559731035,0.012784443,2001
4,5,0.595377054,0.010542071,2001
5,6,0.593975126,0.009177705,2001
6,8,0.516654546,0.012758318,2001
7,9,0.55137381,0.007081741,2001
8,10,0.591463229,0.011110642,2001
9,11,0.521168534,0.014390423,2001
10,12,0.558280369,0.00875324,2001
11,13,0.593722287,0.009642197,2001
12,15,0.513789578,0.01040662,2001
13,16,0.593174785,0.008785333,2001
14,17,0.586326046,0.009114646,2001
15,18,0.600325712,0.008808324,2001
16,19,0.598130163,0.009824684,2001
17,20,0.5704019,0.008478707,2001
18,21,0.621201504,0.008395739,2001
19,22,0.602668384,0.008069075,2001
20,23,0.587276879,0.011672131,2001
21,24,0.569698696,0.009702211,2001
22,25,0.543971881,0.006654175,2001
23,26,0.601858184,0.009277766,2001
24,27,0.604968292,0.008802333,2001
25,28,0.638144223,0.010328542,2001
26,29,0.594308147,0.010483577,2001
27,30,0.56782595,0.012232173,2001
28,31,0.591415382,0.010009221,2001
29,32,0.565249781,0.014508467,2001
30,33,0.559641476,0.00909499,2001
31,34,0.577215213,0.008766436,2001
32,35,0.571169152,0.009959822,2001
33,36,0.560440079,0.009549116,2001
34,37,0.588251569,0.010007331,2001
35,38,0.614821534,0.010740467,2001
36,39,0.600577215,0.010501814,2001
37,40,0.616374972,0.009802724,2001
38,41,0.582130812,0.011095773,2001
39,42,0.604400521,0.009661502,2001
40,44,0.559710019,0.009602243,2001
41,45,0.59797582,0.010393332,2001
42,46,0.594443887,0.008159397,2001
43,47,0.588566505,0.011192078,2001
44,48,0.612950863,0.007427034,2001
45,49,0.547615019,0.011039539,2001
46,50,0.520862057,0.008862956,2001
47,51,0.575627547,0.010983331,2001
48,53,0.560098075,0.008933641,2001
49,54,0.630259441,0.01014251,2001
50,55,0.590649802,0.010187263,2001
51,56,0.556279278,0.010184433,2001
1,1,0.626830807,0.010553059,2002
2,2,0.610816413,0.014615214,2002
3,4,0.562480502,0.013858673,2002
4,5,0.609133783,0.009436328,2002
5,6,0.567174064,0.009540341,2002
6,8,0.53478377,0.009387273,2002
7,9,0.550373218,0.008774339,2002
8,10,0.586216011,0.012201252,2002
9,11,0.527450363,0.014318496,2002
10,12,0.56964119,0.007805251,2002
11,13,0.58890137,0.009169398,2002
12,15,0.531314926,0.008705238,2002
13,16,0.573177088,0.008900553,2002
14,17,0.592529072,0.008389313,2002
15,18,0.612771852,0.007646574,2002
16,19,0.611823786,0.009940998,2002
17,20,0.601730386,0.008618021,2002
18,21,0.625003312,0.009702442,2002
19,22,0.611487362,0.008477059,2002
20,23,0.586301793,0.011573517,2002
21,24,0.578534277,0.009878868,2002
22,25,0.546087506,0.007523721,2002
23,26,0.622373296,0.008256179,2002
24,27,0.588908472,0.008851032,2002
25,28,0.631487596,0.009690922,2002
26,29,0.60211982,0.010200218,2002
27,30,0.566136921,0.011098456,2002
28,31,0.601857773,0.009474796,2002
29,32,0.58863464,0.01303559,2002
30,33,0.563269558,0.008248199,2002
31,34,0.56257548,0.013742019,2002
32,35,0.563953155,0.009243869,2002
33,36,0.573348104,0.009160853,2002
34,37,0.590347669,0.009670918,2002
35,38,0.616367678,0.010486077,2002
36,39,0.587284038,0.009723539,2002
37,40,0.586879954,0.007636674,2002
38,41,0.571675086,0.010654734,2002
39,42,0.595621463,0.005945875,2002
40,44,0.561230798,0.00964987,2002
41,45,0.61357158,0.009990497,2002
42,46,0.605906686,0.008631786,2002
43,47,0.613070644,0.010332532,2002
44,48,0.627719836,0.007633309,2002
45,49,0.536486636,0.011266651,2002
46,50,0.54544838,0.008857972,2002
47,51,0.588068912,0.011182588,2002
48,53,0.589304923,0.009047776,2002
49,54,0.636821508,0.009813856,2002
50,55,0.579021966,0.009359892,2002
51,56,0.559287358,0.009950396,2002
1,1,0.632276356,0.010235425,2003
2,2,0.607293977,0.013666044,2003
3,4,0.570998993,0.013888769,2003
4,5,0.619652343,0.008970042,2003
5,6,0.593464808,0.009002627,2003
6,8,0.514145551,0.009187346,2003
7,9,0.547799688,0.008170518,2003
8,10,0.602296232,0.01077346,2003
9,11,0.521426448,0.014585686,2003
10,12,0.585865455,0.011056479,2003
11,13,0.605640646,0.008378364,2003
12,15,0.499988315,0.009901882,2003
13,16,0.589791598,0.008856294,2003
14,17,0.61096181,0.008008931,2003
15,18,0.616681146,0.007659176,2003
16,19,0.616217035,0.008690383,2003
17,20,0.604847054,0.008845729,2003
18,21,0.630852997,0.009044832,2003
19,22,0.611417946,0.008279864,2003
20,23,0.581822593,0.011870069,2003
21,24,0.590294652,0.009689639,2003
