GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC44,HC01_EST_VC45,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49
Id,Id2,Geography,Total; Estimate; Population 25 years and over,Total; Estimate; Less than 9th grade,"Total; Estimate; 9th to 12th grade, no diploma",Total; Estimate; High school graduate (includes equivalency),"Total; Estimate; Some college, no degree",Total; Estimate; Associate's degree,Total; Estimate; Bachelor's degree,Total; Estimate; Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Total; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Graduate or professional degree
0400000US01,01,Alabama,3166424,5.9,11.5,31.3,21.8,7.2,14.2,8.1,82.6,22.3,29.5,15.0,11.1,3.8,31553,18616,25935,30979,46127,56658
0400000US02,02,Alaska,447543,3.1,5.3,27.1,29.1,7.9,17.8,9.7,91.6,27.5,17.1,10.3,6.3,2.7,41580,21844,31803,40937,51912,67554
0400000US04,04,Arizona,4149955,6.5,8.1,24.4,26.2,8.2,16.9,9.7,85.4,26.6,30.1,15.2,10.3,4.8,34155,19401,26793,33887,48372,61760
0400000US05,05,Arkansas,1921039,6.3,10.4,35.1,22.3,6.1,13.1,6.7,83.3,19.8,27.7,15.5,12.2,3.9,29693,19878,25007,29106,43110,55815
0400000US06,06,California,24117317,10.3,8.7,20.7,22.2,7.7,19.4,11.1,81.0,30.5,24.5,14.2,9.7,4.8,37308,19217,28406,37238,55151,78277
0400000US08,08,Colorado,3328869,4.2,5.8,22.4,22.8,8.1,23.4,13.2,89.9,36.7,26.0,12.1,8.9,4.2,37692,20670,29653,34837,48363,63074
0400000US09,09,Connecticut,2431340,4.5,6.5,27.9,17.6,7.3,20.3,15.8,89.0,36.2,22.6,9.8,6.9,3.0,44558,22408,33841,40548,59595,76758
0400000US10,10,Delaware,603331,4.1,8.2,31.6,20.3,7.2,17.1,11.4,87.7,28.5,22.1,9.7,6.5,3.2,38662,21605,30486,37246,51676,67616
0400000US11,11,District of Columbia,417432,4.8,7.7,19.1,14.3,2.9,22.5,28.7,87.5,51.2,32.9,23.2,15.5,4.9,53031,21720,30690,38536,61590,84058
