"","state","year","at_least_hs_grad","High.2018"
"1","Alabama",2009,80.8,7.64
"2","Alaska",2009,90.7,8.35
"3","Arizona",2009,83.9,8.46
"4","Arkansas",2009,81.3,7.64
"5","California",2009,80.5,9.34
"6","Colorado",2009,88.9,8.5
"7","Connecticut",2009,88.2,9.34
"8","Delaware",2009,86.5,8.35
"9","District of Columbia",2009,85.5,8.81
"10","Florida",2009,84.9,8.42
"11","Georgia",2009,82.9,7.64
"12","Hawaii",2009,89.5,8.46
"13","Idaho",2009,87.7,7.64
"14","Illinois",2009,85.7,9.05
"15","Indiana",2009,85.7,7.64
"16","Iowa",2009,89.6,8.46
"17","Kansas",2009,89,7.64
"18","Kentucky",2009,80.3,7.64
"19","Louisiana",2009,80.5,7.64
"20","Maine",2009,89.4,8.46
"21","Maryland",2009,87.5,7.64
"22","Massachusetts",2009,88.4,9.34
"23","Michigan",2009,87.4,8.64
"24","Minnesota",2009,91.1,7.64
"25","Mississippi",2009,78.9,7.64
"26","Missouri",2009,85.6,8.23
"27","Montana",2009,90.4,8.05
"28","Nebraska",2009,89.7,7.64
"29","Nevada",2009,83.7,8
"30","New Hampshire",2009,90.5,8.46
"31","New Jersey",2009,86.8,8.35
"32","New Mexico",2009,82.1,8.75
"33","New York",2009,84.2,8.35
"34","North Carolina",2009,83,7.64
"35","North Dakota",2009,88.7,7.64
"36","Ohio",2009,86.8,8.52
"37","Oklahoma",2009,84.8,7.64
"38","Oregon",2009,88.3,9.8
"39","Pennsylvania",2009,86.9,8.35
"40","Rhode Island",2009,83.4,8.64
"41","South Carolina",2009,82.2,7.64
"42","South Dakota",2009,88.8,7.64
"43","Tennessee",2009,81.8,7.64
"44","Texas",2009,79.3,7.64
"45","Utah",2009,90.4,7.64
"46","Vermont",2009,90.1,9.41
"47","Virginia",2009,85.8,7.64
"48","Washington",2009,89.4,9.98
"49","West Virginia",2009,81.6,8.46
"50","Wisconsin",2009,89,7.64
"51","Wyoming",2009,91.1,7.64
"52","Alabama",2010,81.4,8.33
"53","Alaska",2010,90.7,8.9
"54","Arizona",2010,85,8.33
"55","Arkansas",2010,81.9,8.33
"56","California",2010,80.7,9.19
