"","state","year","x.rfbmi5","High.2018"
"1","Alabama",2009,NA,7.64
"2","Alaska",2009,NA,8.35
"3","Arizona",2009,NA,8.46
"4","Arkansas",2009,NA,7.64
"5","California",2009,NA,9.34
"6","Colorado",2009,NA,8.5
"7","Connecticut",2009,NA,9.34
"8","Delaware",2009,0.636744236290781,8.35
"9","District of Columbia",2009,0.517688265192034,8.81
"10","Florida",2009,0.634003174194393,8.42
"11","Georgia",2009,0.65326440039358,7.64
"12","Hawaii",2009,0.578446271353792,8.46
"13","Idaho",2009,0.61336240469163,7.64
"14","Illinois",2009,0.644579887748185,9.05
"15","Indiana",2009,0.651516451619885,7.64
"16","Iowa",2009,0.671939225476965,8.46
"17","Kansas",2009,0.646152583399366,7.64
"18","Kentucky",2009,0.670669435904743,7.64
"19","Louisiana",2009,0.676072071970032,7.64
"20","Maine",2009,0.642016047943582,8.46
"21","Maryland",2009,0.629085050889645,7.64
"22","Massachusetts",2009,0.574934833580343,9.34
"23","Michigan",2009,0.655673008727347,8.64
"24","Minnesota",2009,0.632425477027512,7.64
"25","Mississippi",2009,0.702792440353192,7.64
"26","Missouri",2009,0.655921587589734,8.23
"27","Montana",2009,0.62134613974042,8.05
"28","Nebraska",2009,0.648267506893678,7.64
"29","Nevada",2009,0.630234023507608,8
"30","New Hampshire",2009,0.627954696616138,8.46
"31","New Jersey",2009,0.618984474097717,8.35
"32","New Mexico",2009,0.617777320988215,8.75
"33","New York",2009,0.601475703512923,8.35
"34","North Carolina",2009,0.653882968511448,7.64
"35","North Dakota",2009,0.661680731087963,7.64
"36","Ohio",2009,0.66732277997805,8.52
"37","Oklahoma",2009,0.674370578198831,7.64
"38","Oregon",2009,0.606527180498268,9.8
"39","Pennsylvania",2009,0.64032892449307,8.35
"40","Rhode Island",2009,0.616331596898156,8.64
"41","South Carolina",2009,0.658464753514923,7.64
"42","South Dakota",2009,0.671197970396074,7.64
"43","Tennessee",2009,0.6901493674584,7.64
"44","Texas",2009,0.668134811037884,7.64
"45","Utah",2009,0.579560606651692,7.64
"46","Vermont",2009,0.582185209962552,9.41
"47","Virginia",2009,0.606215024084265,7.64
"48","Washington",2009,0.624548041104668,9.98
"49","West Virginia",2009,0.675382008999984,8.46
"50","Wisconsin",2009,0.656630084245487,7.64
"51","Wyoming",2009,0.621956626199995,7.64
"52","Alabama",2010,NA,8.33
"53","Alaska",2010,NA,8.9
"54","Arizona",2010,NA,8.33
"55","Arkansas",2010,NA,8.33
"56","California",2010,NA,9.19
"57","Colorado",2010,NA,8.33
"58","Connecticut",2010,NA,9.47
"59","Delaware",2010,0.640002668121918,8.33
"60","District of Columbia",2010,0.562718744489289,9.47
"61","Florida",2010,0.650232226133843,8.33
"62","Georgia",2010,0.657530811457789,8.33
"63","Hawaii",2010,0.572142969238499,8.33
"64","Idaho",2010,0.628826564059746,8.33
"65","Illinois",2010,0.632245048142196,9.19
"66","Indiana",2010,0.664586925949986,8.33
"67","Iowa",2010,0.662088473342965,8.33
"68","Kansas",2010,0.645457610189329,8.33
"69","Kentucky",2010,0.675328535045302,8.33
"70","Louisiana",2010,0.664666689382475,8.33
"71","Maine",2010,0.636540586612167,8.61
"72","Maryland",2010,0.660407436507916,8.33
"73","Massachusetts",2010,0.60098124676371,9.19
"74","Michigan",2010,0.667844735788663,8.5
"75","Minnesota",2010,0.631133030635251,8.33
"76","Mississippi",2010,0.687557741755341,8.33
"77","Missouri",2010,0.657843819838183,8.33
"78","Montana",2010,0.612943910621113,8.33
"79","Nebraska",2010,0.648801808970703,8.33
"80","Nevada",2010,0.602062096561119,8.67
"81","New Hampshire",2010,0.631289578717318,8.33
"82","New Jersey",2010,0.615429101370374,8.33
"83","New Mexico",2010,0.606983266484961,8.61
"84","New York",2010,0.614703379247065,8.33
"85","North Carolina",2010,0.65330075019531,8.33
"86","North Dakota",2010,0.647660274277759,8.33
"87","Ohio",2010,0.657053932182008,8.38
"88","Oklahoma",2010,0.672173366115645,8.33
"89","Oregon",2010,0.609175113613411,9.65
"90","Pennsylvania",2010,0.657284739417115,8.33
"91","Rhode Island",2010,0.635440940626723,8.5
"92","South Carolina",2010,0.674141790092166,8.33
"93","South Dakota",2010,0.657134134516047,8.33
"94","Tennessee",2010,0.677735973680966,8.33
"95","Texas",2010,0.665502125025901,8.33
"96","Utah",2010,0.57710870775292,8.33
"97","Vermont",2010,0.584433950421599,9.26
"98","Virginia",2010,0.612681366257366,8.33
"99","Washington",2010,0.618383398276402,9.82
"100","West Virginia",2010,0.678984332932588,8.33
"101","Wisconsin",2010,0.636367993101019,8.33
"102","Wyoming",2010,0.637787314390229,8.33
"103","Alabama",2011,NA,8.07
"104","Alaska",2011,NA,8.63
"105","Arizona",2011,NA,8.18
"106","Arkansas",2011,NA,8.07
"107","California",2011,NA,8.91
"108","Colorado",2011,NA,8.19
"109","Connecticut",2011,NA,9.18
"110","Delaware",2011,0.637688296834,8.07
"111","District of Columbia",2011,0.528563926929189,9.18
"112","Florida",2011,0.632979098616756,8.07
"113","Georgia",2011,0.62662383905768,8.07
"114","Hawaii",2011,0.556542477466723,8.07
"115","Idaho",2011,0.622797571896293,8.07
"116","Illinois",2011,0.640628700303811,9.18
"117","Indiana",2011,0.656338465515079,8.07
"118","Iowa",2011,0.647591654432226,8.07
"119","Kansas",2011,0.643948817565663,8.07
"120","Kentucky",2011,0.66474567415157,8.07
"121","Louisiana",2011,0.675771288236081,8.07
"122","Maine",2011,0.650464718918085,8.35
"123","Maryland",2011,0.643924078309646,8.07
"124","Massachusetts",2011,0.59319720438261,8.91
"125","Michigan",2011,0.654360320508622,8.24
"126","Minnesota",2011,0.624435801061733,8.07
"127","Mississippi",2011,0.689045005516595,8.07
"128","Missouri",2011,0.648261605664525,8.07
"129","Montana",2011,0.602514932164089,8.18
"130","Nebraska",2011,0.648782322929096,8.07
"131","Nevada",2011,0.601551546778058,9.18
"132","New Hampshire",2011,0.616448596065823,8.07
"133","New Jersey",2011,0.614668039264406,8.07
"134","New Mexico",2011,0.621762364668483,8.35
"135","New York",2011,0.603163579580273,8.07
"136","North Carolina",2011,0.651209281305998,8.07
"137","North Dakota",2011,0.638004044683359,8.07
"138","Ohio",2011,0.658637313156467,8.24
"139","Oklahoma",2011,0.654235910750497,8.07
"140","Oregon",2011,0.614868791468494,9.46
"141","Pennsylvania",2011,0.645312801102796,8.07
"142","Rhode Island",2011,0.624468991878186,8.24
"143","South Carolina",2011,0.658540806580745,8.07
"144","South Dakota",2011,0.644449007332533,8.07
"145","Tennessee",2011,0.66487394755847,8.07
"146","Texas",2011,0.658491685322978,8.07
"147","Utah",2011,0.588852690536743,8.07
"148","Vermont",2011,0.597505658652002,9.07
"149","Virginia",2011,0.633305231687604,8.07
"150","Washington",2011,0.609876214649504,9.65
"151","West Virginia",2011,0.689198640083479,8.07
"152","Wisconsin",2011,0.639921392414466,8.07
"153","Wyoming",2011,0.612554539639254,8.07
"154","Alabama",2012,NA,7.91
"155","Alaska",2012,NA,8.45
"156","Arizona",2012,NA,8.34
"157","Arkansas",2012,NA,7.91
"158","California",2012,NA,8.72
"159","Colorado",2012,NA,8.33
"160","Connecticut",2012,NA,9
"161","Delaware",2012,0.659971309336792,7.91
"162","District of Columbia",2012,0.518620220768197,9
"163","Florida",2012,0.620975620076159,8.37
"164","Georgia",2012,0.64621717785782,7.91
"165","Hawaii",2012,0.56026188679687,7.91
"166","Idaho",2012,0.625161164396889,7.91
"167","Illinois",2012,0.639752185032072,9
"168","Indiana",2012,0.655316592286996,7.91
"169","Iowa",2012,0.647232709123084,7.91
"170","Kansas",2012,0.655884078762251,7.91
"171","Kentucky",2012,0.668984921884905,7.91
"172","Louisiana",2012,0.695678486007498,7.91
"173","Maine",2012,0.641804604995586,8.18
"174","Maryland",2012,0.638273967553624,7.91
"175","Massachusetts",2012,0.587599420045532,8.72
"176","Michigan",2012,0.656094777498715,8.07
"177","Minnesota",2012,0.630349071594884,7.91
"178","Mississippi",2012,0.688939115661757,7.91
"179","Missouri",2012,0.657276447330884,7.91
"180","Montana",2012,0.613274760358967,8.34
"181","Nebraska",2012,0.650113795868529,7.91
"182","Nevada",2012,0.625253120209056,9
"183","New Hampshire",2012,0.621375602190589,7.91
"184","New Jersey",2012,0.615546782313638,7.91
"185","New Mexico",2012,0.628308024486397,8.18
"186","New York",2012,0.605694872575025,7.91
"187","North Carolina",2012,0.658271530587128,7.91
"188","North Dakota",2012,0.662232934416302,7.91
"189","Ohio",2012,0.653337607624914,8.4
"190","Oklahoma",2012,0.678139002306713,7.91
"191","Oregon",2012,0.611751418671249,9.6
"192","Pennsylvania",2012,0.649335744352298,7.91
"193","Rhode Island",2012,0.62907766250159,8.07
"194","South Carolina",2012,0.661188430667063,7.91
"195","South Dakota",2012,0.660627769280008,7.91
"196","Tennessee",2012,0.653859107978327,7.91
"197","Texas",2012,0.650637198109597,7.91
"198","Utah",2012,0.577896837150452,7.91
"199","Vermont",2012,0.603118090041333,9.23
