,x.state,x.rfbmi5,se,Year
1,1,0.702022788,0.008044283,2017
2,2,0.667281827,0.015014959,2017
4,4,0.647611347,0.005381856,2017
5,5,0.70460652,0.011919564,2017
6,6,0.609421403,0.007558402,2017
8,8,0.58730626,0.006461664,2017
9,9,0.632355669,0.00720209,2017
10,10,0.684709079,0.010960601,2017
11,11,0.540388396,0.011749899,2017
12,12,0.640579588,0.008051688,2017
13,13,0.652743458,0.008557987,2017
15,15,0.588023623,0.008051273,2017
16,16,0.658745159,0.010049188,2017
17,17,0.658395256,0.008679859,2017
18,18,0.67974913,0.005702574,2017
19,19,0.70111844,0.006695407,2017
20,20,0.671956163,0.004354756,2017
21,21,0.677823456,0.008809104,2017
22,22,0.699806517,0.009217447,2017
23,23,0.650625191,0.00796784,2017
24,24,0.662011542,0.007047475,2017
25,25,0.614103455,0.010150387,2017
26,26,0.67176617,0.006049898,2017
27,27,0.649373682,0.005111875,2017
28,28,0.698947015,0.010322639,2017
29,29,0.678154534,0.008063701,2017
30,30,0.622254889,0.009288309,2017
31,31,0.690031814,0.006260829,2017
32,32,0.656732909,0.012176689,2017
33,33,0.648801012,0.01019433,2017
34,34,0.625634473,0.008400057,2017
35,35,0.652079492,0.0090616,2017
36,36,0.612884429,0.006566184,2017
37,37,0.669286489,0.009380298,2017
38,38,0.693606234,0.008228159,2017
39,39,0.679802423,0.006767719,2017
40,40,0.706012708,0.007843256,2017
41,41,0.645021117,0.008171227,2017
42,42,0.670993205,0.00799777,2017
44,44,0.648592923,0.010133627,2017
45,45,0.680987953,0.00667756,2017
46,46,0.677389431,0.011494735,2017
47,47,0.682708459,0.009330399,2017
48,48,0.694429469,0.009287149,2017
49,49,0.605810249,0.006593621,2017
50,50,0.626442735,0.009074294,2017
51,51,0.663165637,0.007465123,2017
53,53,0.621754743,0.005957009,2017
54,54,0.716636943,0.008220009,2017
55,55,0.67304495,0.009181596,2017
56,56,0.646888616,0.009643739,2017
